0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 3, 4, 4, 4, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 1, 1, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 2, 1, 1, 13, 4, 4, 4, 4, 4, 4, 4, 4, 5, 0, 0, 0
0, 0, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 13, 5, 0, 0
0, 0, 8, 9, 12, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 7, 0, 0
0, 0, 0, 0, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 0, 0
0, 0, 3, 4, 14, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 7, 0, 0
0, 0, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 11, 10, 0, 0
0, 0, 6, 1, 1, 2, 1, 11, 9, 9, 9, 9, 9, 9, 9, 9, 10, 0, 0, 0
0, 0, 6, 1, 1, 1, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 9, 9, 9, 9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
